URLLength,DomainLength,IsDomainIP,TLDLength,TLDLegitimateProb,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,CharContinuationRate,URLCharProb,IsHTTPS,HasValidSSL,HasHyphen,HasSuspiciousTLD,IsShortened,HasAtSymbol,HasDoubleSlash,label
52,17,0,2,0.15,31,0.5962,12,0.2308,0,0,0,0,0.0,2,0,0,0.0,0.7045,0.5849,1,1,0,0,0,0,0,0
73,22,0,2,0.6,37,0.5068,23,0.3151,0,0,0,4,0.0548,3,0,0,0.0,0.6066,0.5,1,1,0,0,0,0,0,0
59,12,0,3,0.52,31,0.5254,19,0.322,0,0,0,1,0.0169,0,0,0,0.0,0.6078,0.5167,0,0,0,0,1,0,0,0
38,22,0,3,0.52,31,0.8158,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9688,0.7949,1,0,0,0,0,0,0,0
68,7,0,2,0.4,60,0.8824,1,0.0147,0,0,0,0,0.0,0,0,0,0.0,0.9677,0.8696,1,1,0,0,0,0,0,0
53,21,0,3,0.35,37,0.6981,4,0.0755,1,1,0,3,0.0566,1,0,0,0.0,0.881,0.6852,1,1,0,0,0,1,0,0
95,22,0,3,0.52,51,0.5368,29,0.3053,0,0,0,6,0.0632,1,0,0,0.0,0.6296,0.5312,1,1,1,0,0,0,0,0
45,13,0,2,0.15,27,0.6,10,0.2222,0,0,0,0,0.0,1,0,0,0.0,0.7105,0.587,1,0,0,0,0,0,0,0
62,43,0,3,0.15,29,0.4677,25,0.4032,0,0,0,1,0.0161,1,0,0,0.0,0.5273,0.4603,1,0,1,0,0,0,0,0
97,24,0,3,0.52,55,0.567,29,0.299,0,0,0,4,0.0412,1,0,0,0.0,0.6471,0.5612,1,1,0,0,0,0,0,0
80,16,0,3,0.52,36,0.45,32,0.4,0,0,0,4,0.05,0,0,0,0.0,0.5217,0.4444,1,1,0,0,0,0,0,0
110,13,0,2,0.15,51,0.4636,48,0.4364,1,1,0,3,0.0273,1,0,0,0.0,0.51,0.4595,1,0,0,0,0,0,0,0
52,17,0,2,0.15,31,0.5962,12,0.2308,0,0,0,0,0.0,2,0,0,0.0,0.7045,0.5849,1,1,0,0,0,0,0,0
